customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,postcode
143,Kendall,Figg,Male,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,2065
144,Jory,Barrabeale,U,,Environmental Tech,IT,Mass Customer,N,No,3216
145,Filippo,Ferrara,Male,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4509
146,Ricoriki,Matlock,Male,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,2330
147,Rea,Pattrick,Female,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,2759
148,Jaquith,Maffey,Female,1981-05-08,Programmer Analyst III,,Mass Customer,N,Yes,2069
149,Drucy,Kausche,Female,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,2747
150,Bradly,Crosse,Male,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,2227
151,Donnie,Brimson,Male,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,2025
152,Stephana,Cardew,Female,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,3191
153,Lorilyn,Walshe,Female,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,3025
154,Faydra,Dulieu,Female,1958-02-13,Junior Executive,,Mass Customer,N,No,2263
155,Orran,Bogges,Male,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,2233
156,Shayla,Rimmington,Female,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,2154
157,Chad,Houtby,Male,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,2065
158,Hamlin,Odams,Male,1984-09-03,Internal Auditor,,Affluent Customer,N,No,2119
159,Arin,Matskevich,Male,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,3016
160,Wake,Durning,Male,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,4113
161,Tadd,Bloss,Male,1976-01-21,,,Mass Customer,N,No,2032
162,Port,Acuna,Male,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,4300
163,Kessia,Helder,Female,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,4352
164,Aarika,Van Vuuren,Female,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,3020
165,Aldon,Roelofs,Male,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,2116
166,Elston,Oleszczak,Male,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,3057
167,Nathalie,Tideswell,Female,1969-10-27,,Health,High Net Worth,N,Yes,2099
168,Reggie,Broggetti,U,,General Manager,IT,Affluent Customer,N,Yes,3749
169,Alfy,Bruhnke,Male,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,2766
170,Jammal,Gever,Male,1975-06-02,Pharmacist,Health,High Net Worth,N,No,2148
171,Halli,Davidoff,Female,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,3145
172,Hilton,Carney,Male,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,2021
173,Ebba,Hanselmann,Female,1997-01-02,General Manager,Health,Affluent Customer,N,No,2333
174,Catie,Tosspell,Female,1989-11-26,Food Chemist,Health,Mass Customer,N,No,2783
175,Templeton,Hambrook,Male,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,2280
176,Angelo,Clayal,Male,1992-04-13,Accountant I,Property,Mass Customer,N,No,4120
177,Ondrea,Pablos,Female,1989-11-09,Professor,Financial Services,High Net Worth,N,No,3638
178,Matthieu,Bertelmot,Male,1967-04-03,,,Affluent Customer,N,No,4300
179,Esteban,Sewill,Male,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,2074
180,Trisha,Neasham,Female,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,2880
181,Pavla,Braunle,Female,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,2430
182,Lydon,Dahlman,Male,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,4560
183,Dannie,Hissie,Female,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,2088
184,Nappie,Paolo,Male,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,2220
185,Crosby,Walcot,Male,1979-12-13,,Property,Mass Customer,N,Yes,3031
186,Mireielle,Jeppe,Female,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,2250
187,Pincas,Ather,Male,1954-01-28,Structural Engineer,,Mass Customer,N,No,2261
188,Audry,Seine,Female,1975-06-22,Safety Technician II,Property,High Net Worth,N,Yes,3196
189,Umberto,Torricella,Male,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,N,No,4352
190,Hayley,Girardengo,Female,1979-02-04,Registered Nurse,Health,Affluent Customer,N,No,4680
191,Christopher,Heining,Male,1960-04-27,Help Desk Operator,,Affluent Customer,N,Yes,3143
192,Goldi,Osler,Female,1978-11-19,Junior Executive,Health,Mass Customer,N,Yes,2747
193,Foss,Hardes,Male,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,2063
194,Ursala,Ferrai,Female,1974-11-16,Web Developer III,Financial Services,Affluent Customer,N,No,3021
195,Talyah,Rylatt,Female,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,2138
196,Swen,Odhams,Male,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,N,No,4005
197,Avis,,Female,1977-01-27,,,High Net Worth,N,No,2233
198,Vanya,Gumb,Female,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,4811
199,Verla,Alven,Female,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,2085
200,Hube,Weald,Male,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,3084
201,Salem,Huie,Male,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,3170
202,Audie,Pillinger,Female,1963-06-24,Librarian,Entertainment,Affluent Customer,N,Yes,2066
203,Donovan,Conry,Male,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,4113
204,Thorny,Hackworth,Male,1976-10-01,Editor,Financial Services,Mass Customer,N,No,4078
205,Rolfe,Kellard,Male,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,2222
206,Mari,Chevolleau,Female,1954-07-19,Statistician I,,Mass Customer,N,Yes,3152
207,Adena,Whyman,Female,1994-08-10,,,Mass Customer,N,No,2159
208,Rutter,Excell,Male,1994-10-31,Office Assistant III,Property,High Net Worth,N,No,4503
209,Udall,Bellard,Male,1957-08-28,Analog Circuit Design manager,,Affluent Customer,N,Yes,4655
210,Albrecht,Thomasson,Male,1963-11-18,Assistant Manager,Property,Mass Customer,N,No,4220
211,Beitris,,Female,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,4012
212,Nanice,Ellse,Female,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,No,2153
213,Lockwood,Exroll,Male,1996-05-14,Actuary,Financial Services,High Net Worth,N,Yes,2070
214,Jeramie,Cellier,Male,1957-11-29,Food Chemist,Health,Mass Customer,N,No,2015
215,Debera,Foxworthy,Female,1974-06-24,Assistant Professor,Retail,High Net Worth,N,Yes,2776
216,Cinderella,Parcall,Female,1995-01-12,Quality Engineer,Financial Services,High Net Worth,N,Yes,3011
217,Jeralee,Quartly,Female,1979-12-09,,Manufacturing,High Net Worth,N,No,2761
218,Stefa,Dunnan,Female,1993-08-06,Administrative Officer,Property,High Net Worth,N,Yes,2015
219,Markus,Mughal,Male,1964-11-25,Database Administrator III,Health,Mass Customer,N,No,2502
220,Jeniffer,Apark,Female,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,2110
221,Mara,Bloore,Female,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,N,No,2566
222,Nev,Larive,Male,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,2519
223,Ossie,Meaton,Male,1983-11-26,VP Sales,,Affluent Customer,N,Yes,2506
224,Morgun,Girvan,Male,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,N,No,2209
225,Brittaney,Pring,Female,1977-03-11,Pharmacist,Health,Affluent Customer,N,No,2116
226,Bondie,Letty,Male,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,N,No,2075
227,Wendall,McKeand,Male,1973-08-14,Accountant I,Entertainment,Mass Customer,N,No,2226
228,Lucia,Pickervance,Female,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,N,No,2145
229,Vaughn,Lambis,Male,1966-03-06,,Property,High Net Worth,N,No,2508
230,Maegan,Scyone,Female,1954-06-24,Internal Auditor,Property,High Net Worth,N,No,2036
231,Basile,Winsor,Male,1995-08-05,Design Engineer,Financial Services,Mass Customer,N,Yes,2018
232,Zaria,Koeppke,Female,1987-11-11,Professor,Retail,Mass Customer,N,No,3666
233,Art,Barwell,Male,1986-08-08,Environmental Tech,Property,Mass Customer,N,No,2021
234,Mead,Alpes,Female,1969-08-12,Chief Design Engineer,Retail,High Net Worth,N,No,2750
235,Leona,Phateplace,Female,1976-12-26,Social Worker,Health,Mass Customer,N,No,4514
236,Tybalt,Gillingwater,Male,1954-10-30,Research Nurse,Health,Affluent Customer,N,No,2525
237,Reginald,Dartan,Male,1974-03-07,Account Coordinator,Property,High Net Worth,N,Yes,4152
238,Max,Bilborough,Male,1984-02-04,Programmer III,,Mass Customer,N,Yes,2200
239,Wells,Pressman,Male,1992-12-13,Registered Nurse,Health,Affluent Customer,N,No,2250
240,Gavin,Fawks,Male,1989-07-28,Administrative Assistant III,IT,High Net Worth,N,Yes,3023
241,Quillan,Duigan,Male,1987-05-09,Quality Engineer,Entertainment,Mass Customer,N,No,3500
242,Taite,Droghan,Male,1992-03-20,Nurse,Property,Affluent Customer,N,No,4300
243,Barbara,Croxley,Female,1976-09-02,Teacher,Manufacturing,High Net Worth,N,Yes,2283
244,Germayne,Sperry,Male,1974-11-25,,Retail,Affluent Customer,N,No,2102
245,Noell,Grahlmans,Female,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,No,2204
246,Binny,Whight,Female,1991-02-28,Technical Writer,Manufacturing,High Net Worth,N,No,2040
247,Kristal,Joysey,Female,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,2749
248,Inger,Eskell,Female,1978-04-15,Clinical Specialist,Health,Affluent Customer,N,Yes,2304
249,D'arcy,Slay,Male,1992-09-13,Quality Control Specialist,IT,High Net Worth,N,No,2340
250,Kristofer,,Male,1988-04-15,Legal Assistant,Health,Mass Customer,N,Yes,3580
251,Mala,,Female,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Yes,3355
252,Anthea,Ruskin,Female,1983-01-24,Account Coordinator,Property,Mass Customer,N,Yes,2287
253,Amalee,Choak,Female,1997-05-11,Food Chemist,Health,Mass Customer,N,Yes,2324
254,Barbie,Rubi,Female,1961-09-22,Information Systems Manager,Retail,Mass Customer,N,No,2323
255,Keeley,Kruger,Female,1954-01-15,Desktop Support Technician,IT,Mass Customer,N,No,2320
256,Linell,Beadle,Female,1975-05-07,Director of Sales,Health,High Net Worth,N,Yes,4680
257,Marissa,,Female,1966-02-08,Sales Associate,Manufacturing,Affluent Customer,N,Yes,2346
258,Othella,Keher,Female,1992-05-03,Administrative Officer,Manufacturing,High Net Worth,N,No,2031
259,Venita,Dymick,Female,1983-07-22,Senior Developer,Health,High Net Worth,N,Yes,2064
260,Farand,Marriner,Female,1979-08-30,Senior Quality Engineer,Health,High Net Worth,N,Yes,2176
261,Marve,Pryn,Male,1977-10-15,Structural Engineer,,Mass Customer,N,No,3195
262,Cordie,Petrelli,Male,1977-12-23,,Health,High Net Worth,N,Yes,2010
263,Tonia,Leigh,Female,1985-11-19,Dental Hygienist,Health,High Net Worth,N,No,2768
264,Jedd,Spiby,Male,1977-12-07,Technical Writer,Health,Mass Customer,N,No,2752
265,Pennie,Stoile,Male,1965-10-05,Sales Representative,Retail,High Net Worth,N,Yes,3802
266,Lelia,Garatty,Female,1989-07-19,Account Executive,Retail,Affluent Customer,N,No,3071
267,Edgar,Buckler,U,,,IT,High Net Worth,N,No,4735
268,Kacie,Kidston,Female,1978-10-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,2065
269,Zacherie,Grindley,Male,1954-09-19,Nurse Practicioner,Property,Mass Customer,N,Yes,3081
270,Auberta,Roundtree,Female,1970-12-10,Budget/Accounting Analyst III,,Mass Customer,N,Yes,3205
271,Doll,Burtwell,Female,1991-02-13,Financial Advisor,Financial Services,Mass Customer,N,No,2165
272,Arlie,Crean,Female,1987-06-06,Product Engineer,Retail,Mass Customer,N,Yes,3125
273,Nevile,Abraham,Male,1963-04-22,Computer Systems Analyst IV,,Mass Customer,N,No,4214
274,Tessi,Hesse,Female,1976-09-15,Social Worker,Health,Mass Customer,N,Yes,2030
275,Dud,,Male,1955-07-27,VP Sales,Health,High Net Worth,N,No,2036
276,Goldi,Dwine,Female,1990-03-25,,Financial Services,Mass Customer,N,No,2767
277,Jehanna,Alvarado,Female,1956-02-19,VP Product Management,,High Net Worth,N,No,2798
278,Sydney,Georger,Male,1997-07-30,Executive Secretary,,Affluent Customer,N,Yes,4211
279,Tamera,Hinckes,Female,1981-09-09,Web Designer I,Manufacturing,Mass Customer,N,No,4508
280,Welch,MacAllaster,Male,1995-03-22,Geologist I,,Affluent Customer,N,Yes,2032
281,Jeanette,Sizzey,Female,1972-12-27,Cost Accountant,Financial Services,High Net Worth,N,Yes,2117
282,Lauren,Curcher,Male,1989-10-27,VP Quality Control,Argiculture,High Net Worth,N,Yes,4551
283,Sari,Noye,Female,1991-02-04,Assistant Manager,Retail,Mass Customer,N,No,2765
284,Seth,Moorman,Male,1986-04-11,Financial Analyst,Financial Services,High Net Worth,N,Yes,3064
